,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy2r,Nr4a2,Nrn1,Ntng1,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,Satb1,Sema3c,Serpini1,Slc17a8,Snca,Sncg,Sst,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3
cell_123,0,0,0,0,0,0,0,0,0,0,0,0,1.781550184,0,0,0,9.50052669,2.82473119,0.000154345,0,0.453089437,0,0,0,0,2.94080546,0,0.014275525,0,0,0.924065649,0,0,0,0,0,0,0,0,0.951169495,0.716688207,0,0,1.982497935,0,0,0.611412315,0.009741389,0,0,0,0,0,0.005571601,0,0,0,0,0.003765063,0.221501749,0,0,0,0,0,0,0,0,0.001949178,0
cell_124,0,5.16E-07,0,2.889399186,0,0,0,0,0.770504005,0,0,0,2.599327266,0,0,0,1.487697182,0.251736792,0.081292903,0,8.95E-07,0,1.07E-05,0.878440485,0,0.000270144,0,1.54E-09,0,0,0.000758989,0,0.939884155,0,0,0,0,2.011425623,5.891050761,0.899353031,0.004119146,0.971494176,0.858745433,0.054208165,0.225511292,1.7750321,0,0,0,0.00872826,1.372689533,0.195566367,0,3.693912315,1.689374044,0,0.022657993,0,0.656009356,1.561638373,0,0,0,0,0,1.48E-06,1.449569211,0,1.21E-05,0
cell_125,0,0,0,0,6.26E-17,2.49E-13,2.51E-14,0,2.78E-12,6.80E-11,0,1.00E-14,0.003093717,5.23E-12,0,0,6.10E-10,1.95977047,0,0,1.38E-09,0,0.905913785,0,0,1.852131804,4.42E-24,0,0,0,7.95E-17,0,0,0,0,0,1.11E-18,0,2.02E-08,3.24E-06,0.00880151,1.96E-13,0,2.967596237,0,0,0,8.08E-11,0,0,0.96529362,2.17E-10,2.40E-16,1.19E-12,0,0,5.12E-13,0,0.000146225,0.009083401,0.000195259,0,7.93E-11,0,0,0,0.003479895,0,0,0
cell_126,0.002560446,0.006792644,0,0.001540645,2.16E-06,0.009661299,0,0,0.322333773,0,0,0,0.18845007,8.25E-08,0,0,5.218986763,0.00191554,0.862084069,0,0.036394423,0,0.855391762,0,0,1.51E-07,0,0.001846328,8.34E-05,0,0.93439082,0,0.000800292,0,0,0,0,0.000750673,0.020808912,0.000331873,0.189635027,2.23E-05,0.089100734,8.881654607,0.002671265,0.08781484,0,0.025909886,0,0,0.003648313,0.953481829,0,0.003679421,0.796979248,1.67E-10,5.63E-08,0,0.036368677,0.080717849,0.015269256,1.62E-06,0,0,0,4.29E-06,0.093562117,0,0.00013535,0
cell_127,9.69E-18,1.89E-08,0,0,0.040573874,6.03E-09,1.80E-16,0,3.08E-10,1.42118428,0,0.001248947,1.096500785,4.28E-05,0,0,0.303331522,1.898999378,1.047051726,0,0.246282421,0,1.29E-17,0,0,2.144343094,1.56E-18,0,0,1.26E-19,2.89E-18,0,0,0,0,0,6.67E-19,0,0.8380998,4.905785736,0.000334475,1.10E-15,0.38153334,0.176783085,0,0.000103024,0.001250903,1.58E-10,0,0,0.429692718,1.078438089,2.48E-07,0.106403927,0,0.730350767,2.89E-17,0,0.036936544,0.000593506,4.04E-16,0,1.05E-15,0,0,5.09E-24,0.697203025,0,0.863833889,0
cell_128,0,3.76E-05,0,0,0,0,0,0,7.74E-06,0,0,0,0.006186793,0,0,0,8.749671039,0.016212241,5.953103191,0,0.000117279,0,0,0,0,3.26E-09,0,0,2.82E-05,0,0.962216618,0,0,0,0,0,0,0,0,0.009575332,6.00E-05,0.000114251,0,18.67603534,0,0,0.001677604,0.010791484,0,0,1.78E-05,0,0,0.73711395,0.002240269,0,9.66E-06,0,0,0,0.000248533,2.50E-06,0,0,0,0,0,0,0.567563195,0
cell_129,0,0,0,0.40103045,3.29E-07,0,0,9.95E-07,0.944873411,0,0,0,1.76595181,1.54E-06,0,0,5.469775461,2.09E-05,1.976133962,0,0.016264936,0,0,0,2.78E-35,0.446535763,0,0,1.442078879,0,0.00248463,0,0.152310509,0,0,0,0,0,0,1.06E-06,0.397392231,0.000466721,0.001500924,12.99010266,0,0.003611055,0,0.000313346,0.051983889,0,3.50E-07,9.05E-07,0,0.493355953,0,0,0,0,0.001171185,0.043906497,0,0,0,0,0,0.045160233,5.73E-08,0,0.727073526,0
cell_130,0.000330325,0,0,0,0,0.000947992,0,0.008729903,0.048828091,0,0,0,0.042133289,0,0,0,4.635505596,1.96530815,0.034391894,0,0.028442403,0,0.455530209,0,0,1.859224719,0,0,0,0,1.326531599,0,0,0,0,0,0,0,0,0.020086586,0.012640673,0.000206813,0,0.008971825,0,0,0,0.076448725,0,0,0.955945407,0,0,0.319437382,0.055848248,0,0.067240666,0,0.782236478,0,0,0,0,0,0,0,0.880449649,0,0.926213582,0
cell_131,0,0.003236011,0,0,0.000179838,0.075010269,0,0,0.003196885,0,0,0,0.988241507,7.96E-05,0,0,7.205291797,2.206732625,2.960548858,0,1.161265243,0,0.123432406,0,0,0,0,0,0.903657817,0,0.253736252,0,0,0,0,0,0,0,0.000354077,0.000251389,1.125922367,0.960090344,0,15.08636049,1.72E-06,0,0,1.128130827,0,0,2.293662701,0.205150288,0,0.009593179,2.036839245,0.573351339,0,0,0.00084064,0,1.140356904,0.79197718,0,0,0,0,0,0,7.51E-05,0
cell_132,1.920301473,1.856590594,0,0,0.880158229,0.973672405,0,0.000169253,4.877193541,0,0,0,3.742580615,1.840369137,0,0,1.851997028,8.624618053,0.000885503,0,3.6827784,0,0.00018129,0,0,0,0,0.532957537,1.005825924,0,8.365135808,0,0,0,0,0,0,0,0.909410329,1.734976199,5.644506833,1.900215763,4.26E-05,0.561349499,3.879274493,0.001129848,0,4.46694658,0,0,0.610358061,1.454429268,0,0.026915176,4.086926121,0.258892197,0.001107713,0,0.975241248,0,13.6411206,1.874236873,0,0,0,0,0,0,1.882033845,0
cell_133,0.013398673,3.912364619,1.038904494,9.63E-08,0,0.000565965,0,0,1.908034971,0.933420976,0,0.94455125,0.017220134,0.972271119,0,0,2.138429076,4.51876527,2.66E-07,0,2.983475358,0,0,0,0.978750883,0.479251697,0,0.943271838,0.003834704,0,7.967461309,0,0,0,0.755800186,0,0,0,0,0.98415496,0,1.96564053,0.975308526,0.755855915,1.973476439,1.007353696,0,9.52E-05,0.001708137,0,1.000030361,0.610784124,0,8.37E-06,5.028573791,0,0.000891799,0.917825605,2.055843567,0,0,0,0,0.000121166,0,0.952067739,0,0,0.001059544,0
cell_134,0,0.949826428,0,0,0,0,0,0,2.950042309,0,0,0,7.10E-07,0,0,0,5.65E-06,0.608657918,1.78E-06,0,2.932897522,0,0,0,0,3.76E-14,0,0,0.954406999,0,4.09E-08,0,0,0,0,0,0,0,0,0.887322726,3.01E-07,2.941294374,0,0.114540137,0,0,2.47E-09,4.135626624,0,0,0.011610989,0,0,1.959631729,2.094753523,0.007526593,0.954700288,0,1.08E-05,0.120535938,0,0,0,0,0,0,0,0,0.019935639,0
cell_135,0,3.70E-16,0,4.01E-14,0.008660398,5.14E-18,0,0,2.28E-10,0.350342637,0,0,0.006300014,4.35E-09,0,0,11.62196793,0.000178327,4.857077196,0,1.653084018,0,1.20E-15,0,0,2.53E-05,0,0,0,0,4.57E-05,0,0,0,0,0,0,0,0.787516954,0.870680315,3.63E-05,3.69E-09,2.26E-07,25.74564032,0,3.11E-12,0.902716321,0,0,0,0.905778982,0.003538479,1.32E-14,0.860555092,0,0.17783708,0,0,0.045783552,8.01E-05,3.06E-34,0,0,0,0,0,0.076105207,0,1.09E-05,0
cell_136,2.23E-05,0.011154951,0,2.21E-08,0,1.47E-08,0,0,0,0.008081442,0,2.75E-12,0.129476303,0,0,0,1.937089764,0.990868148,1.962847993,0,0.016733654,0,0,0,0,0.000388844,0,0,0,0,0.054573656,0,0,0,0,0,0,0,0,6.83E-05,0.949463045,0.051639365,0,4.986051139,0,0.01645983,0,0,0,0,5.49E-06,2.463946861,0,0.038704358,0,2.00E-06,1.34E-06,0,1.98E-12,0,0,0,0,0.000180759,0,0,0,0,1.90E-09,0
cell_137,0.811468941,1.843037665,0,0.818012384,0,2.770336418,0,0,2.949514752,2.29E-06,0,0.891730623,0.016321246,6.30E-07,0,0,6.300582836,5.654937331,1.927991803,0,4.745318213,0,0,0,1.98E-06,0.029289195,0,4.27E-05,1.847382013,0,5.764660558,0,0,0,0.003619644,0,0,0,0,3.921571262,5.59E-08,0.073397376,0,14.85530237,0.787945393,1.84E-05,0,0.932387238,0,0,0.000378949,0.059098247,0,2.385447112,3.914410015,0,0,0,0.685780671,0.000889271,2.12E-08,0,0,0,0,0,0,0,0.415665509,0
cell_138,0.000259521,0.942491254,0,2.051619201,0,1.603748241,0,0.906395469,1.913781645,0,0,0,5.445633173,0.000257739,0,0,0.033858069,0.000402888,0,0,4.914600614,0,0.015412102,0,0,0,0,1.113897392,0.005666305,0,2.887755546,0,2.57E-07,0,0,0,0,0,0,2.092700476,0.000255775,1.94168915,0.002415408,1.78E-06,0.000794894,2.21E-07,0,0.976393501,0,0,3.916020354,2.082078268,0,2.920556894,0.96186051,0,0.974922133,0,0.012743107,0.302424299,0,0.000108049,0,0,0,0.971465976,0.006001099,0,0.938880252,0
cell_139,0,1.27E-08,0,1.3838483,0,0,0,0,0.80359516,0.052482611,0,0,0.632058975,0,0,0,0.01867037,7.67E-10,6.19E-07,0,0,0,8.23E-08,0,0,1.29E-08,0,0,2.02E-10,0,0.023326079,0,0,0,0,0,0,0,5.52E-06,0.792124996,0.177149624,5.17E-08,0,0.204775062,4.20E-06,0,0,0.052289385,0,0,0.095063357,0.001448402,1.15E-09,0.803914467,3.73E-08,0,0,0,0.000303707,0.541260902,0.001128028,0,0,0,0,0,0,0,0.00015965,0
cell_140,0,0.845489322,0,1.55E-07,7.66E-07,8.51E-17,0,0,1.22E-11,1.81E-13,0,1.24E-10,0.00256377,0.07260271,0,0,0.037671454,9.09E-06,0.819476608,0,0,0,0,0,1.49E-06,2.22E-05,0,0,0,0,9.14E-06,0,0,0,0,0,0,0,1.29E-10,1.29E-08,0.837055998,0.021974592,5.27E-07,0.004997193,0,0,0,0,0,0,6.53E-25,0.000161793,0.828949603,0.829109041,0,4.28E-12,4.27E-16,0,2.75E-24,8.58E-16,0,0,0,0,2.22E-18,0,1.95E-08,0,2.85E-07,0
cell_141,0,0,0,0.000627717,0,0.001209561,0,0,3.26E-09,0,0,0,0.914624244,0,0,0,2.954527879,0.965002305,0,0,0.014662437,0,0.020112666,0,0,3.85E-05,0,0,7.60E-07,0,0.00178924,0,0,0,0,0,0,0,0.001412251,0.001120092,0.904951267,0.000341845,0,4.589026932,0,0,0,2.329378991,0,0,3.54E-07,0.001541679,0,4.878460208,3.56E-07,0.543817465,0.000469481,0,0.441500403,0,0,0,0,0,0,0,2.86E-05,0,1.83E-10,0
cell_142,0,2.85E-10,3.25E-05,3.93E-09,0,1.37E-05,0,3.42E-06,0.979664279,5.32E-05,0,0,0.87993564,3.89E-07,0,0,8.919643989,1.060883837,1.961405409,0,2.75E-06,0,0,0,1.11E-05,0,0,0,0,2.67E-10,0.560991488,0,0,0,0,1.61E-06,0,0.035171519,1.14E-06,1.32E-06,0.875282999,0.82428124,0.048322226,12.85142134,0.000430967,0.177042567,0,0,0,0,1.589577356,0.000493159,1.89E-08,0.976436919,0,0,2.90E-08,0,3.15E-05,0.186953316,0,0,0,0,0,0.670060254,5.90E-06,5.93E-06,0,0
cell_143,0,1.69172717,0.035469298,0.001980747,0,0.083105803,0,1.009199068,3.206464841,0.982964468,0,0,2.774936589,1.944672698,0,0,0.004459901,0.000487457,7.33E-06,0,0.000456519,0,0,0,1.924043648,0,0,0,0,0.91007235,2.970905773,0,0,0,0,0.94018181,0,2.496778676,2.899838474,0.014893196,7.884161359,4.483366065,1.750740422,2.013612559,3.956662888,0.023517376,0,0,0,0,1.199350785,0.00749067,0.047828857,3.835734885,0,0,0.000726844,0,3.952235018,8.66E-16,4.00E-05,0,0,0.000214061,0,0.04024206,0.979345381,0.00064153,0,0
cell_144,3.09E-08,1.911059527,0,0,0,5.01E-05,0,0.002324498,4.04E-06,0.668802039,0,2.55E-06,3.93925156,0,0,0,1.119328527,1.981726128,0.000123346,0,5.812095849,0,3.69E-07,0,0,2.021226047,0,1.30E-07,3.93E-09,0,3.933015204,0,0,0,0,0,0,0,0,0.981478892,0.00031351,0.825284202,0,0.984280589,0,0.891100227,0,0,0,0,4.16E-10,1.225561852,0,3.105169124,3.87E-07,0.91028392,1.11E-06,0,5.87E-05,0,0,0,0,0.908025377,0,0,0,0,3.85E-06,0
cell_145,0,0,0,0,0,1.27E-06,0,0.979715209,1.955958006,0,0,0,1.968177812,0,0,0,5.22E-05,0.102015074,0.056226188,0,0.614266957,0,0,0,7.94E-14,1.44E-09,0,0,0,0,6.44E-07,0,0,0,0,0,0,0,0,0,4.938973941,0,0,0.23318041,1.63E-08,0,0,0.915532986,0,0,0.983127267,2.965031979,0,3.853945589,0,0,0,0,0,7.872297928,0,0,0,0,0,0,0.98487508,0,0.928410073,0
cell_146,0,2.27E-09,0,1.56E-14,1.80E-09,0,0,0,0.016325005,0,0,0,0.004801439,0,0,0,0.673269695,3.50E-05,0,0,0,0,0,0,0,2.88E-07,0,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,1.91E-12,1.05E-12,3.09E-08,0,0.78971214,0,0,0,0,0,0,1.18E-12,2.93E-18,0.801508617,0,0,0,0,0,1.90E-14,1.02E-06,4.89E-06,0,0,0,0,0,0,0,4.81E-16,0
cell_147,0,0,0,0.262433805,0,0,0,0,0.039362755,0.00029628,0,0,0.18251831,6.38E-05,0,0,0.089109832,1.46E-10,0,0,0,0,7.84E-15,0,0,7.18E-05,0,0,0,0,1.56E-06,0,0,0,0,0,0,0,0,0.003634909,0.628567355,0,0,0.607353439,0,0,0,0.021285455,0,0,0.726194633,0.675186924,8.07E-06,0.008047898,0,0,0,0,0.000146651,0.004549581,1.225565835,0,0,0,0,0,0,0,0,0
cell_148,0.984095982,11.90962851,0,0,0,5.29E-06,7.47E-09,4.01E-06,5.69E-10,0.990180679,0,0.93047674,3.885558458,0,0,0,1.761402742,0.00037761,0,0,0.001436927,0,1.969628297,0,1.61E-06,0.005648073,0,1.95874781,0.977097197,0,10.905889,0,0,0,0,0,0,0,0,1.956432942,0,0.988754441,0,0.00011305,1.02E-05,0,0,0,0,0,1.949542633,0.978065397,0,1.970956364,0.987077348,0.977738172,1.978589542,0,3.963095774,0,0,0,0,0,0,1.96E-07,1.30E-07,0,0,0
cell_149,0,0.473499466,0,0,0,2.838802276,0,0.902852425,0.96317405,0,0,0,0.003570417,0,0,0,2.455116425,0.278654355,1.965357951,0,3.7561978,0,0,0,0,0.000467372,0,0,0.379761554,0,4.77769419,0,0,0,0,0,0,0,0,1.551004603,1.930989754,0,0,11.86219089,0,1.06E-05,0,0,0,0,0,0.956080146,0,2.124473192,0.869951308,0.00154216,0.269537863,0,0,0,0,0,0,1.96E-05,0,0,0.388460954,0,0.89779136,0
cell_150,0,0,0,0.588470492,0,3.749649754,0,0,0,0,0,0,0.123820963,0,0,0,0.808340891,3.011176886,0.000167205,0,3.863033058,0.001268781,0.098668334,0.00624199,0,0.892402735,0,1.40E-05,0.948438605,0,1.950416323,0,0,0,0,0,0,0,0.616307524,2.072115411,0.000157501,9.773237696,0.750233431,1.629780946,0,0.002542532,0,5.307316447,0,0,0.934795106,1.328981171,0,9.234198886,0.989614439,0.768311106,1.811255197,0.793987727,0.002716823,0,0,0,0,0,0,0.392661568,0.902311012,0,0.000943391,0
cell_151,0,0,0,0,0.851362824,0,0,0.876340105,3.801360859,0,0,0,0,0,0,0,5.939248269,0.842738346,2.970688172,0,4.933305154,0,0.002123008,0,0,0.000135067,0,0,0,0,0.890415625,0,0,0,0,0,0,0,0,3.874777935,0,0,0,5.927766297,0.948079462,0,0,6.768600208,0,0,3.30E-08,0.969708355,0,0.01030046,2.875625888,0,1.576978609,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_152,0,0,0,2.67238469,0,1.683135218,0,0.823899999,0.963422354,0,0,1.97E-06,3.500456494,0.808984911,0,0,4.268352943,1.412943272,0,0,4.255458743,0,7.50E-05,0,0,0.007576474,0,0.254639297,0.331737267,0,0.902797497,0,0,0,0,0,0,0,9.49E-05,2.50E-05,1.197042904,2.945472173,0.938783005,14.79408536,0.000286277,0.870110705,0,0.881048714,0.929978436,0,0.016927212,3.67E-05,0,4.059467319,1.855836468,0,1.825565526,0,0.95730631,0.09235181,6.57E-06,0.000123676,0,0,0,0.805395026,1.26E-05,0,0,0
cell_153,0,8.05E-05,0,0.00103187,0,0,0,2.20E-05,3.01E-06,0.000163743,0,0,1.54E-06,1.31E-05,0,0,4.484494581,1.80829772,0.000123414,0,5.98E-05,0,9.66E-05,0,0,1.915119536,0,0,0,0,0.005896585,0,0,0,0,0,0,0,1.18E-06,2.86E-05,3.64E-06,0,0,3.567858844,0,0,0,0.003225758,0,0,4.10E-05,0.89160859,0.885010935,0.902235093,8.39E-07,0,0,0,0.62802138,0,0.002207469,0,0,0,0,0,0,0,0,0
cell_154,0,2.71E-05,0,0.002590482,0,0.021132669,0,0.000131157,0.002170053,0,0,0,0,0,0,0,0.00073464,2.741456155,0,0,4.31213343,0.818554095,0,0.867431855,0,0.00122069,0.002565478,0.978007186,0.000262624,0,4.934579856,0,0,0,0,0,0,0,0,2.628277243,0,5.022509298,2.990317865,0.928285321,0,0.919194857,0,9.42543522,0,0,0.95491641,1.341871188,0,1.775002605,6.52201729,0.000199099,1.026819103,0.007471744,0.921113666,0.095120826,0,0,0,0,0,0,0,0,0.968009001,0
cell_155,0,1.72E-08,0,0,0,0.82215913,0,0.000211828,0.000816208,0,0,9.65E-06,0.002568027,0,0,0,0.000168758,1.785582444,0,0,0.01930014,9.76E-09,0,4.40E-10,0,0.001506822,5.03E-06,5.27E-07,1.30E-06,0,0.583776939,0,0,0,0,0,0,0,0,8.90E-05,0,0.00885094,0.000206357,6.30E-06,0,1.61E-09,0,0.004302793,0,0,1.07E-06,0.001625479,0,0.046201175,0.683247359,0,5.56E-06,0,6.84E-10,0.001521952,0.0005549,0,0,0,0,0,2.79E-06,0,0.798575152,0
cell_156,6.20E-08,8.86E-08,0,1.65E-07,0,2.56E-05,0,2.28E-05,0.862619553,0,0,2.72E-08,0.0073021,0,0,0,17.79245549,3.987504491,2.942948932,0,5.36E-05,0,0,0,0,0.39725767,0,0,4.36E-10,0,0.613995654,0,0,0,3.39E-09,0,0,0,0,0.000346849,3.03E-09,0.222328268,0,31.10740643,7.77E-07,0,0,0,0,0,1.195737306,0.129511017,0,0.008977264,1.54E-07,0,3.85E-07,0,9.03E-09,0,2.55E-07,0,2.32E-05,0,2.27E-07,0,0,0,0.010697052,0
cell_157,0,0.456485708,2.555272453,5.731100698,0,0.298558613,0,0.726798622,4.187149251,0.809290831,0,0.444541606,3.114993956,0.000173257,0,0.974681625,0.272461011,4.701109988,3.91E-09,0,0.887865727,0,0,0,1.31E-07,0,0,0,0.825745955,2.10E-06,4.347814589,0,0,0,0,0.000438025,0,8.477022796,9.913235573,0.947800726,1.984953347,1.067549698,3.135307059,0.877911179,6.556594695,2.69E-09,0,0.929265619,0,0,4.289058195,4.597227127,0.563379572,5.70731845,0,0.00970629,1.912959944,0,5.40E-05,1.397774579,0.899154381,0,0.66944511,0.89209729,0,1.22684103,4.831477592,0.71346564,0.000362201,0
cell_158,3.33E-08,0,0,0,0,0.764273833,0,0,1.838718341,0,0,0,0.833858573,0,0,0,4.641613128,4.572964209,1.255113992,0,0.002464293,0,0,0,5.35E-07,2.558018749,0,0,0,0,0.951319082,0,0,0,0,0,0,0,0,0,0.204646334,0,0,6.230795214,0.822157129,0,0,0,0,0,0,9.53E-05,0,0.928367324,0,0,0,0,0,0.636272409,0,0,0,0,0,0,0,0,1.696456461,0
cell_159,0,0.9406303,0,5.889296508,0,0.000369956,0,0,3.24E-10,0,0,0,3.775966556,3.10E-06,0,0,0.561380011,0.074319293,0.668444445,0,0.981731534,0,0.075334119,0,0.960832909,0.014557749,0,0,0,0,3.189953011,0,0,0,0,0,0,0,0,2.915927936,9.628552473,0.765463125,1.32E-05,1.330843254,1.966454372,0.754083883,0,0.062081066,1.01E-10,0,0.982155633,0.984050612,0.856769139,4.567597265,9.62E-09,0,0,0,2.985983084,0.800689855,0,0,0,0,0,4.15E-05,0.917715043,0,0,0
cell_160,3.38E-05,0,0,0,0,1.21E-07,0,0,1.83E-08,0,0,0,7.95E-05,0,0,0,0.301262621,3.753455722,0,0,1.50E-08,0,0,0,0,0.0079254,0,1.27E-06,0,0,1.41E-06,0,3.14E-09,0,0,0,0,0,1.17E-08,0.003522483,0,0.969731385,0.948603137,1.25E-07,6.50E-06,2.29E-09,0,0.79706925,0,0,1.828303865,2.537847576,0.079257793,3.84E-07,0.009014284,1.22E-07,0.382775053,0,4.81E-13,0,7.13E-11,0,0,0,0,0,0.455704832,0,0.000124679,0
cell_161,0,0,0,3.657906611,0,0,0,0.000296171,1.832412872,0,0,0,2.308467772,0,0,0,7.847037598,5.339830772,6.887524696,0,2.911928521,0,0,0,1.39E-05,0.825259183,0,0,0,0,2.756585924,0,0,0,0,0,0,0.00036149,0.02765483,3.842315347,9.440777192,7.264030643,0.990270891,19.27259373,0.25290127,0.84365238,2.43E-10,1.911869975,0,0,0.561497771,0.953755015,0,3.879360681,0,0,0.975233407,0,3.585419342,0,0,0,0,0,0,0,0,0,0.028247472,0
cell_162,0,8.94E-07,0,0,0,1.87E-07,0,2.20E-10,0.084717591,0,0,0,0,0,0,0,5.959627648,1.811038081,1.045382619,0,1.73E-05,0,0,0,0,0,0,0,1.86E-06,0,0.000264439,0,0,0,0,0,0,0,0,0.734576039,0.947443656,0,0,13.04392026,0,0,0,0,0,0,0.01142707,0,0,4.58E-06,1.47E-07,0,0,0,0.107764066,0,0.903410428,0,0,0,0,0,2.79E-06,0,0,0
cell_163,0,0,0,4.11E-13,0,1.55E-19,0,0,1.08E-06,0,0,0,1.623499715,0,0,0,0.731104054,0.052724731,2.25E-10,0,2.49E-17,0,0,0,2.09E-14,0.004227056,0,0,0,0,5.70E-06,0,0,0,0,0,0,0,0,3.57E-05,4.12E-10,0,6.89E-25,0.017187727,5.94E-18,0,0,1.73E-12,0,0,0,6.60E-11,0,2.86E-12,0,0,0,0,1.39E-12,5.04E-05,0,0,0,0,0,0,0,0,1.73E-05,0
cell_164,0,1.939735037,0,0.698983616,0,0,0,0,0.980098111,2.904043687,0,0,4.130496109,1.862095569,0,0,0.123066529,0.34198551,0.958221174,0,3.045139434,0,1.721609494,0,0,0.240211476,0,0.492300435,0,0,3.932016185,0,0,0,0,0,0,0,3.815643873,1.887887455,4.904425475,0.26024993,0,0.000808156,0,0,0,4.25E-06,0,0,0.927977454,1.256151577,0,3.925029448,0.982779098,0,0.007600136,0.230128033,5.025277047,0,3.923119646,0,0,0,0,0.007760992,0,0,0,0
cell_165,0,0,0,0,1.46E-11,0.030438998,0,0,2.52E-11,0,0,0,0.000146701,0,0,0,1.002842044,0.098263139,0.000512438,0,0.006675245,0,0.725855426,0,0,0.042274367,0,0,0.007115783,0,0.013643821,0,0,0,0,0,0,0,0.00101046,0.094477824,1.79E-06,0.054471933,0.084483313,0.244472798,6.75E-15,0,0,0.013259744,0,0,0.005928007,0.004688063,0,0.044419818,0.005662634,0.150365375,0.051362775,0.030494612,1.88E-06,0,0,0,0,0,0,0.438379207,0.006970798,0,0,0
cell_166,0,0.000105841,0,4.75E-08,0,0.217479086,0,0.000405702,4.56E-05,0,0,0.495192359,0.0021718,2.95E-05,0,0,1.51E-08,0.000687062,0,0,0.185889029,0,0,0,0,0.752774317,0,0.03609335,0,0,0.021342198,0,0,0,0,0,0,0,0,0.000187405,0.005642274,3.02E-07,0.197594477,3.36E-06,0,0,0,5.10E-05,1.52E-06,0,0.013633719,0.000960778,0,5.28E-08,3.38E-07,0,3.00E-07,0,1.37E-07,0.367876596,0.000223467,0,0,0,0,0,1.501425303,0,1.40E-07,0
cell_167,0,1.03E-10,0,1.76E-12,0,1.90207309,0,0,2.941509679,0,0,0,0.058088782,0,8.25E-09,0,0.978536407,0.976568871,7.80E-10,0,1.935573653,0,0,0,0,6.63E-05,0,2.912150155,2.57E-06,0,2.952066391,0,0.001111104,0,0,0,0,0,0.93126981,3.826178645,5.22E-07,9.891585807,0.92890932,0.009039488,3.866860351,1.9534568,0,0.957062061,0,0,2.21E-08,0.970216677,0.052718635,3.967578104,2.947117218,1.965407168,4.64E-05,0,0.895747409,0,0,0,0,0,0,0,2.31E-05,0,0,0
cell_168,1.19E-07,1.847546228,0,0,0,0.604973208,0.943710816,1.921484926,0.976835455,4.03E-09,0,0,1.866181917,0,0,0,3.667648037,0.016262783,0.861162299,0,7.453071659,0,6.53E-08,0,0.776705382,0.002658049,0,3.73E-09,0.973189973,0,10.90243244,0,0,0,0,0,0,0,0,4.933791313,0,0.981609301,0,9.838796178,8.788847722,0,0.000308888,0,0,0,1.958659371,8.053898001,0,0.982396852,8.906435374,0.964369778,2.937091313,0,1.62E-06,0,0,2.31E-07,0,0,0.954448849,1.956369638,1.917656146,0,0.959050796,0.935467443
cell_169,0,0,0,0,0.000209879,0,0,3.29E-08,0.000411464,0,0,1.67E-11,1.859646893,0,0,0,1.025785534,0.004099871,0.001244501,0,0.00193625,0,0,0,0,0.000813631,0,0,0,0,0.000213534,0,0,0,0,2.55E-06,0,0,0,0.008015895,4.47E-09,8.64E-06,2.73E-07,0.00570824,1.85E-06,0,0,0.007068852,0,0,0.00234069,0.132899601,2.73E-05,0.001694175,0.000799454,0,0.002063875,0,9.60E-05,4.10E-09,9.82E-08,0,0,0,0.003541875,0,0.004105571,0,0,0
cell_170,0,0.042559285,6.77E-06,0.002082355,0,0,0,0.003627023,0.019273277,0.000202623,0,0,2.045306977,0,0,0,14.8892017,8.573746559,6.875881807,0,2.69E-06,0,0,0,2.61E-06,2.719831026,0,0,0,0,0.90837198,0,0,0,0,0,0,4.63E-06,4.55E-05,0.521442291,2.631929528,0.001123851,2.86E-07,21.7049346,0.002818158,0.011941893,0,2.14E-05,0,0,3.33E-05,0.517091711,3.81E-18,0.000119713,0,0.000543387,9.70E-05,0,0.933908834,0.021615997,0,0,0,0,0,0,0.000513073,0,0.420842351,0
cell_171,0,0.954478908,0,0.021467984,0.000220886,2.938605704,0.449651287,2.91E-05,1.928804162,3.40E-05,0,0.000213725,0.241784018,0.635215541,0,9.41E-12,1.89E-06,0.781002836,5.30E-09,0,0.118691426,0,0.000159147,0,0,0,0,0,0.000353592,0,0.046474249,0,0,0,0,0,0,1.95E-11,1.82E-09,0.97237762,3.901029024,0.004158806,2.47E-08,0.000162813,0,0.352779994,0,1.98E-11,0,2.27E-06,5.953962383,1.140386117,2.29E-05,0.640766975,9.47E-05,0.005247084,1.61E-09,0,5.845996465,1.617656811,0.025134531,0,0.628631486,0,0,4.74E-06,0.124686736,0,0,0
