,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy2r,Nr4a2,Nrn1,Ntng1,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,Satb1,Sema3c,Serpini1,Slc17a8,Snca,Sncg,Sst,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3
cell_49,2.79E-06,1.29E-05,0,0,0,6.53E-06,0,0.005026966,0.001461797,0,0,0,0.671012192,0,0,0,1.418677729,0.006548836,1.044794433,0,1.15E-05,0,0,0,0,2.895571507,0,0,0,5.99E-20,0.000802988,0,0,0,0,0,0,0,0,0.000172617,0.000287667,3.01E-06,3.19E-13,0.980050063,0,3.93E-06,0,0.7344602,0,0,0.663060809,5.29E-16,0,4.62E-06,0.123375933,0,0.9143513,0,0.000230758,0,4.36E-05,2.35E-08,0,0,0,0,0.937669619,0,0.892482811,0
cell_50,0,0.925828087,0,0,0,0.937455242,0,1.717945832,0.520150516,0,0,0,0.035824918,0,0,0,2.033862834,4.737642657,1.29E-08,0,2.921654711,0,1.18E-16,0,0,0.008917444,0,0,0,0,0.936057545,0,0,0,0,0,0,0,0,1.765099376,2.370298872,0.967296939,6.94E-12,1.7174293,0,2.28E-06,0,1.935310222,0,0,0.030448917,1.20E-21,0,5.99E-07,1.962220667,0,0.000781445,0,0,0,0,1.76E-06,0,0,0,1.12E-14,0,0,2.34E-11,0
cell_51,0.000269052,1.352577648,0,0,0,2.145493788,0,0.67026844,2.839028476,0.000158382,0,0.001633066,0.42340445,0,0,0,0.000628229,0.393382741,0.592255078,0,13.42265997,0,1.514433687,0,0,0,0,0.705186809,0.547502141,0,3.018754247,0,0,6.35E-05,0,0,0.000523544,0,0.000229481,9.3036649,0.005013212,2.808394859,0,0.007904644,0,0.002534083,0,21.85623416,0.000202526,0,6.968783777,0.966314335,0,3.474280167,3.671286258,0.675209892,6.766434056,0.131741047,1.01E-06,0.003567185,0.000147797,4.46E-07,0.062374286,0,0,0.973655878,2.435064821,0,1.81281291,0
cell_52,0,0.950255308,0,0.006054564,9.80E-05,0,0,0,1.918438377,0,0,0.928366273,1.843914582,0,0,0,1.722342667,1.359942725,0.893326798,0,0.981976491,0,0,0,0,0.204952848,0,0,0.956107804,0,5.969649095,0,0,0,0,0,0,0,0,4.17E-05,1.671074665,0,0,2.585076624,0,0,0,0,0,0,0.94238776,1.019912077,0,7.42E-05,0.003993407,0,0,0,2.919284761,6.85E-08,0,0,0.872884356,0,0,0,0,0,0,0
cell_53,0,0.001015585,0,0,0,2.846472981,0,0,3.973848783,0.985365594,0,0,1.93909354,0.982337322,0,0,0.056078644,2.952145406,0.000950936,0,3.48E-05,0,0.980257248,0,0,3.71E-06,0,0.021747379,0,0,6.932496904,0,0,0.940730443,0,0,0,0,0,1.882281316,1.898973543,1.901340155,1.13E-10,2.064651639,1.65E-08,0,0,0.000538188,0,0,1.947443244,0.951512712,0,0.000795514,1.014748434,5.06E-09,2.862364309,0,3.541811557,1.821256064,0,0.944399566,0.973200873,0,0,0.877838772,0,0,0,0
cell_54,0,0,0,0,0,1.597874174,0,0,3.475175494,2.617875773,0,0.140632085,0.024184681,0,0.318442525,0,10.38389446,0.913123513,2.883541229,0,6.550900034,0,0,0,0,0.749672435,0,1.916340462,0,0,2.637489314,0,0,0.000116007,0,0,0,0,0.752231348,4.697224551,0.004078729,0.079003533,0,10.06064212,0,2.36E-05,0,0,0,0,0.957650096,0.01047248,0,1.621023304,0,0,0.917356031,0,5.326468231,0.021155583,0.371077164,0,0,0.484863713,0,0.674535276,0.896468224,0,0.956485698,0
cell_55,5.74E-13,0.337267245,0,0,0,0.164120163,0,7.26E-05,0.108241443,0,0,0,0.021923635,0,0,0,1.28E-10,0.08956718,0.298579576,0,0.061183632,0,0.225694849,0,0,0,0,0,0.362909553,0,0.00240496,0,0,0,0,0,0,0,0,0.073121609,8.50E-12,0.010960496,0,1.87E-05,0,0,0,0.139179768,0,0,0.041650866,0.000690441,0,0.00067672,0.122396399,0.000980124,0.002280319,6.00E-06,7.86E-13,1.11E-10,0,0,0,0,0,0.003041888,0.173109146,0,0.129526701,0
cell_56,0,1.75E-10,0,0,0,0,0,7.89E-08,7.12E-07,0,0,0,0.01453155,0,0,0,9.458014034,0.376640341,2.905866901,0,2.97E-14,0,0,0,0,0.066308476,0,0,0,0,2.02E-06,0,0,0,0,0,0,0.12695991,0,1.51E-07,0.928911835,0.214378771,0.007975719,8.390366645,0.021891079,0,0,0.000603815,0,0,0.000103091,0.571730708,0,0.480047136,0.029903078,0,8.74E-05,0,0.687220582,0,0,0,0,0,0,0,0.001898633,0,0.012145395,0
cell_57,0.181204624,0,0,0,0,0.205687939,0,1.170756156,0.106797695,0,0,4.19E-05,0.021516851,0.001027133,0,0,4.745181645,0,3.023968635,0,0.063315757,0,0,0,0,0,0,9.54E-05,0,0,1.530933904,0,0,0.001127991,0,0,0,0,0,0.012556932,0.058860456,0,0,11.53086185,0,0.003188753,0,0,0,0,0.097985899,0,0,0.000612226,0.114185214,0,0,0,0.492046019,0.073824178,2.29E-10,0,0.677856424,0,0,0,0,0,0,0.000987472
cell_58,0,0,0,0,0,0.220255997,0,0.001865857,1.998693948,0,0,0.00162693,3.568107563,0,0,0,3.556142807,0.144016335,1.927883819,0,3.669533698,0,0.019158257,0,0,0,0,0,0.119424404,0,3.978161505,0,1.61E-10,0,0,0,0,0,0.000218337,0.613821935,0.935833216,0,0,7.951338151,0,0.889147432,0,0,0,0,0.151853957,0.944865014,0,2.18092994,0.962595334,0,0,0.482896788,0.169479351,2.49E-07,0,0,0,0,0,0,0.054950528,0,0.034498322,0
